s_id,name,design_code,img_product,img_blueprint,img_imperial,img_metric,img_index
5,ADAPTER/10K_MALE-FEMALE,APF/10K/A,1.png,1B.png,1T.png,,
5,REDUCING_ADAPTER/10K_MALE-FEMALE,APF/10K/RA,2.png,2B.png,2T.png,,
5,ELBOW/10K_MALE-FEMALE,APF/10K/ME,3.png,3B.png,3T.png,,
5,ELBOW/10K_MALE-FEMALE,APF/10K/MFE,4.png,4B.png,4T.png,,
5,TEE/10K_MALE,APF/10K/MT,5.png,5B.png,5T.png,,
5,HEX_NIPPLES/10K_LONG,APF/10K/HNL,6.png,6B.png,6T.png,,
5,PIPE_CAP/10K_NPT,APF/10K/PC,7.png,7B.png,7T.png,,
5,HEX_PLUG/10K_NPT,APF/10K/HP,8.png,8B.png,8T.png,,
5,HEX_COUPLING/10K-FEMALE,APF/10K/HC,9.png,9B.png,9T.png,,
5,HEX_REDUCING_COUPLING/10K_FEMALE,APF/10K/HRC,10.png,10B.png,10T.png,,
5,HEX_NIPPLES/10K_BSPP-BSPP,APF/10K/HN-GG,11.png,11B.png,11T.png,,
5,HEX_REDUCING_NIPPLES/10K_BSPP-BSPP,APF/10K/HRN-GG,12.png,12B.png,12T.png,,
5,HEX_NIPPLES/10K_NPT-NPT,APF/10K/HN-NN,13.png,13B.png,13T.png,,
5,HEX_REDUCING_NIPPLES/10K_NPT-NPT,APF/10K/HRN-NN,14.png,14B.png,14T.png,,
5,HEX_NIPPLES/10K_JIC-JIC,APF/10K/HN-JJ,15.png,15B.png,15T.png,,
5,HEX_NIPPLES/10K_BSPP_NPT,APF/10K/HN-GN,16.png,16B.png,16T.png,,
5,HEX_REDUCING_NIPPLES/10K_BSPP-NPT,APF/10K/HRN-GN,17.png,17B.png,17T.png,,
5,HEX_NIPPLES/10K_NPT-JIC,APF/10K/HN-NJ,18.png,18B.png,18T.png,,
